Date,Attendence,Fed Holiday,Weekend,Closed
9/1/2009,768,0,0,0
9/2/2009,706,0,0,0
9/3/2009,761,0,0,0
9/4/2009,929,0,0,0
9/5/2009,1093,0,1,0
9/6/2009,978,0,1,0
9/7/2009,584,1,0,0
9/8/2009,523,0,0,0
9/9/2009,497,0,0,0
9/10/2009,539,0,0,0
9/11/2009,550,0,0,0
9/12/2009,734,0,1,0
9/13/2009,794,0,1,0
9/14/2009,235,0,0,0
9/15/2009,483,0,0,0
9/16/2009,435,0,0,0
9/17/2009,426,0,0,0
9/18/2009,650,0,0,0
9/19/2009,802,0,1,0
9/20/2009,766,0,1,0
9/21/2009,151,0,0,0
9/22/2009,472,0,0,0
9/23/2009,382,0,0,0
9/24/2009,565,0,0,0
9/25/2009,664,0,0,0
9/26/2009,945,0,1,0
9/27/2009,758,0,1,0
9/28/2009,413,0,0,0
9/29/2009,458,0,0,0
9/30/2009,354,0,0,0
10/1/2009,493,0,0,0
10/2/2009,548,0,0,0
10/3/2009,512,0,1,0
10/4/2009,704,0,1,0
10/5/2009,258,0,0,0
10/6/2009,441,0,0,0
10/7/2009,336,0,0,0
10/8/2009,430,0,0,0
10/9/2009,610,0,0,0
10/10/2009,607,0,1,0
10/11/2009,633,0,1,0
10/12/2009,337,1,0,0
10/13/2009,493,0,0,0
10/14/2009,504,0,0,0
10/15/2009,454,0,0,0
10/16/2009,533,0,0,0
10/17/2009,603,0,1,0
10/18/2009,501,0,1,0
10/19/2009,216,0,0,0
10/20/2009,342,0,0,0
10/21/2009,285,0,0,0
10/22/2009,335,0,0,0
10/23/2009,404,0,0,0
10/24/2009,476,0,1,0
10/25/2009,493,0,1,0
10/26/2009,149,0,0,0
10/27/2009,360,0,0,0
10/28/2009,345,0,0,0
10/29/2009,339,0,0,0
10/30/2009,399,0,0,0
10/31/2009,248,0,1,0
11/1/2009,354,0,1,0
11/2/2009,208,0,0,0
11/3/2009,389,0,0,0
11/4/2009,266,0,0,0
11/5/2009,379,0,0,0
11/6/2009,439,0,0,0
11/7/2009,670,0,1,0
11/8/2009,657,0,1,0
11/9/2009,179,0,0,0
11/10/2009,392,0,0,0
11/11/2009,1324,1,0,0
11/12/2009,422,0,0,0
11/13/2009,438,0,0,0
11/14/2009,560,0,1,0
11/15/2009,477,0,1,0
11/16/2009,171,0,0,0
11/17/2009,369,0,0,0
11/18/2009,341,0,0,0
11/19/2009,370,0,0,0
11/20/2009,340,0,0,0
11/21/2009,554,0,1,0
11/22/2009,480,0,1,0
11/23/2009,333,0,0,0
11/24/2009,606,0,0,0
11/25/2009,616,0,0,0
11/26/2009,0,1,0,1
11/27/2009,655,1,0,0
11/28/2009,790,0,1,0
11/29/2009,412,0,1,0
11/30/2009,132,0,0,0
12/1/2009,254,0,0,0
12/2/2009,203,0,0,0
12/3/2009,237,0,0,0
